Date,Map,Result,VOD_Link,Score_Us,Score_Enemy,MatchID,MyComp_1,MyComp_2,MyComp_3,MyComp_4,MyComp_5,Pistol_Def_W,Pistol_Atk_W,Def_R_W,Def_R_L,Atk_R_W,Atk_R_L,Source,EnComp_1,EnComp_2,EnComp_3,EnComp_4,EnComp_5,Delta,DateObj
04.06.2025,Icebox,L,-,2.0,13.0,,Viper,Sova,Gekko,Sage,Killjoy,0.0,0.0,2.0,10.0,0.0,3.0,Legacy,,,,,,-11.0,2025-06-04
05.06.2025,Icebox,W,https://www.youtube.com/watch?v=VSBcx4EsEVQ,13.0,7.0,,Viper,Sova,Gekko,Sage,Killjoy,0.0,1.0,6.0,6.0,7.0,1.0,Legacy,,,,,,6.0,2025-06-05
05.06.2025,Icebox,W,https://youtu.be/iu0TIFXAKz4,13.0,4.0,,Viper,Sova,Gekko,Sage,Killjoy,1.0,1.0,9.0,3.0,4.0,1.0,Legacy,,,,,,9.0,2025-06-05
11.06.2025,Ascent,L,,5.0,13.0,,Omen,Kay/o,Sova,Jett,Killjoy,0.0,0.0,1.0,5.0,4.0,8.0,Legacy,,,,,,-8.0,2025-06-11
22.06.2025,Pearl,W,https://www.youtube.com/watch?v=jY7bQPDQvOI,13.0,7.0,5aca576d-bd9f-4034-b5bf-6c4e0cc56b63,Astra,Sova,Phoenix,Jett,Killjoy,1.0,1.0,6.0,2.0,7.0,5.0,Legacy,,,,,,6.0,2025-06-22
22.06.2025,Pearl,W,https://www.youtube.com/watch?v=jY7bQPDQvOI,13.0,8.0,ef124127-4df9-48f4-a69b-4712f9a5a8b3,Astra,Sova,Phoenix,Jett,Killjoy,1.0,1.0,5.0,4.0,8.0,4.0,Legacy,,,,,,5.0,2025-06-22
22.06.2025,Lotus,W,https://www.youtube.com/watch?v=jY7bQPDQvOI,13.0,9.0,f704cce3-19bd-4482-b89f-f64f92eaa3e5,Omen,Viper,Fade,Raze,Killjoy,1.0,0.0,8.0,4.0,5.0,5.0,Legacy,,,,,,4.0,2025-06-22
29.06.2025,Ascent,W,https://youtu.be/8oEQdbooccQ,18.0,6.0,,Omen,Chamber,Sova,Yoru,Vyse,1.0,1.0,8.0,4.0,10.0,2.0,Legacy,,,,,,12.0,2025-06-29
30.06.2025,Ascent,L,https://youtu.be/9G-wpmPraf4,8.0,16.0,,Omen,Chamber,Sova,Yoru,Vyse,1.0,0.0,3.0,9.0,5.0,7.0,Legacy,,,,,,-8.0,2025-06-30
30.06.2025,Ascent,W,https://youtu.be/9G-wpmPraf4,13.0,6.0,,Omen,Chamber,Sova,Yoru,Vyse,1.0,0.0,4.0,3.0,9.0,3.0,Legacy,,,,,,7.0,2025-06-30
02.07.2025,Ascent,L,https://youtu.be/SGYqkIJL4r8,12.0,14.0,,Omen,Chamber,Sova,Yoru,Vyse,0.0,1.0,9.0,4.0,3.0,10.0,Legacy,,,,,,-2.0,2025-07-02
03.07.2025,Ascent,L,https://youtu.be/i7doz5mt0Ng,2.0,13.0,,Omen,Chamber,Sova,Yoru,Vyse,0.0,0.0,0.0,3.0,2.0,10.0,Legacy,,,,,,-11.0,2025-07-03
04.07.2025,Ascent,W,https://youtu.be/HWV8H07olFI,13.0,1.0,,Omen,Chamber,Sova,Yoru,Vyse,1.0,1.0,11.0,1.0,2.0,0.0,Legacy,,,,,,12.0,2025-07-04
05.07.2025,Bind,W,https://youtu.be/FyP2foqimlg?list=PLqdLL4Iya-MxwWGbVthST8jIOhEGwKR5d,15.0,9.0,,Astra,Viper,Gekko,Yoru,Raze,1.0,1.0,7.0,5.0,8.0,4.0,Legacy,,,,,,6.0,2025-07-05
06.07.2025,Bind,L,https://youtu.be/3nMvBIPSmFc,6.0,13.0,,Astra,Viper,Gekko,Yoru,Raze,0.0,0.0,2.0,5.0,4.0,8.0,Legacy,,,,,,-7.0,2025-07-06
07.07.2025,Bind,L,https://youtu.be/FCbgbgJUi3M,2.0,13.0,,Astra,Viper,Gekko,Yoru,Raze,0.0,0.0,0.0,3.0,2.0,10.0,Legacy,,,,,,-11.0,2025-07-07
17.07.2025,Haven,L,,5.0,13.0,,Omen,Viper,Sova,Killjoy,Jett,1.0,0.0,5.0,7.0,0.0,6.0,Legacy,,,,,,-8.0,2025-07-17
17.07.2025,Haven,W,,14.0,12.0,,Omen,Viper,Sova,Killjoy,Jett,0.0,0.0,7.0,6.0,7.0,6.0,Legacy,,,,,,2.0,2025-07-17
20.10.2025,Bind,L,https://www.youtube.com/watch?v=D7UgTwr8tUw,4.0,14.0,,Brimstone,Viper,Fade,Yoru,Raze,0.0,0.0,0.0,6.0,4.0,8.0,Legacy,,,,,,-10.0,2025-10-20
22.10.2025,Bind,L,https://youtu.be/SkWj-H1Id9w?list=PLqdLL4Iya-MyQID3KWAVCdYO_i2jlFrCD,6.0,13.0,,Brimstone,Viper,Fade,Yoru,Raze,0.0,0.0,1.0,6.0,5.0,7.0,Legacy,,,,,,-7.0,2025-10-22
28.11.2025,Sunset,W,,13.0,7.0,J_1765566001,Fade,Chamber,Neon,Sage,Omen,,,4.0,4.0,9.0,3.0,Tracker,Cypher,Raze,Breach,Sova,Omen,6.0,2025-11-28
09.11.2025,Split,D,https://youtu.be/UCf8o4oUylg,8.0,13.0,J_1765568054,Viper,Fade,Raze,Yoru,Omen,,,5.0,7.0,3.0,6.0,Tracker,Jett,Raze,Chamber,Deadlock,Clove,,
23.11.2025,Corrode,L,https://youtu.be/Vijonk74GOc,1.0,13.0,J_1765568136,Sova,Kayo,Waylay,Omen,Viper,,,1.0,11.0,0.0,2.0,Tracker,Clove,Chamber,Fade,Jett,Reyna,,
23.11.2025,Corrode,W,https://youtu.be/Xlx2gHv0mzM,13.0,10.0,J_1765568220,Waylay,Sova,Kayo,Omen,Viper,,,8.0,4.0,5.0,6.0,Tracker,Reyna,Raze,Sage,Waylay,Jett,,
19.11.2025,Corrode,L,,8.0,13.0,J_1765568292,Sova,Omen,Kayo,Viper,Waylay,,,0.0,9.0,8.0,4.0,Tracker,Fade,Omen,Neon,Breach,Vyse,,
01.11.2025,Abyss,L,https://www.youtube.com/watch?v=IqS_-MObkpM,6.0,13.0,J_1765621803,Sova,Omen,Jett,Yoru,Clove,,,2.0,10.0,4.0,3.0,Tracker,Astra,Omen,Sova,Waylay,KAY/O,,
01.11.2025,Abyss,L,https://www.youtube.com/watch?v=IqS_-MObkpM,11.0,13.0,J_1765621858,Sova,Omen,Jett,Clove,Yoru,,,2.0,10.0,9.0,3.0,Tracker,Jett,Deadlock,Yoru,Omen,KAY/O,,
